Company,Job,Listing Date,Location,Work Type,Teaser job,Job ID,Classification,Sub Classification,Job_URL,Classification_encoded,Cluster
Ruangguru,Branch Manager - Bantaeng (Sulawesi Selatan),24 hari yang lalu,"Makassar, Sulawesi Selatan",Kontrak,"Direct all sales and marketing initiatives in branch
Assess local market condition, identify current and prospective sales opportunities
Assess the...",81230923,Penjualan,Manajemen,https://id.jobstreet.com/id/job/81230923,15,0
Premmiere Store,Sales Area Makassar,28 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,- Mencari peluang penjualan dan menjalin jaringan dengan calon pelanggan - Melakukan tindak lanjut terhadap prospek pemasaran dan mengamankan pelua...,81126755,Penjualan,Perwakilan/Konsultan Penjualan,https://id.jobstreet.com/id/job/81126755,15,0
Tiga Mutiara Sakti,Sales Executive,29 hari yang lalu,"Sidenreng Rappang, Sulawesi Selatan",Kontrak,Pekerja Lapangan,81107664,Penjualan,Perwakilan/Konsultan Penjualan,https://id.jobstreet.com/id/job/81107664,15,0
Finfleet,Sales Promotor,1 hari yang lalu,"Makassar, Sulawesi Selatan",Kontrak,Tugas & Tanggung Jawab: - Memberikan penawaran produk Kredivo pada Customer - Meningkatkan nilai penjualan untuk Kredivo - Memberikan pengetahuan m...,81748196,Penjualan,Perwakilan/Konsultan Penjualan,https://id.jobstreet.com/id/job/81748196,15,0
OS Selnajaya Indonesia,Pengajar Bahasa Jepang,12 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,"sertifikat JLPT min. N3 (N2 lebih diutamakan) bersedia ditempatkan di Depok/Semarang/Bali/Makassar
Mengajar siswa Ginoujisshuu persiapan Tokuteiginou",81502401,Pendidikan & Pelatihan,Pengajaran – Pendidikan Dasar,https://id.jobstreet.com/id/job/81502401,14,0
Amartha Mikro Fintek,Team Leader Palopo,30+ hari yang lalu,"Wara, Sulawesi Selatan",Full time,Kami mencari Business Manager (Team Leader) yang berpengalaman untuk memimpin dan mengawasi pekerjaan karyawan di perusahaan kami. Tugas utama adal...,78905648,Penjualan,Koordinator Penjualan,https://id.jobstreet.com/id/job/78905648,15,0
Manulife,Sales Bancasurrance Area Makassar Veteran Selatan,26 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,PT Asuransi Jiwa Manulife Indonesia membuka kesempatan berkarir di Manulife Bancassurance yang akan ditempatkan di Kantor Cabang Mitra Bank kami...,81156372,Penjualan,Perwakilan/Konsultan Penjualan,https://id.jobstreet.com/id/job/81156372,15,0
Mitsui Sumitomo Insurance Group,Bancassurance Consultant Sulawesi (Makassar),11 hari yang lalu,Sulawesi Selatan,Full time,Menjalin dan menjaga hubungan bisnis yang baik dengan nasabah bank rekanan dalam memberikan konsultasi perencanaan perlindungan serta tujuan.,81533556,Perbankan & Layanan Finansial,Layanan Klien,https://id.jobstreet.com/id/job/81533556,16,0
Jiva Agriculture,Warehouse Officer - South Sulawesi,30+ hari yang lalu,"Makassar, Sulawesi Selatan",Full time,Category Agriinput - 5 Open roles 5 Open roles PDG - 1 Open role 1 Open role Project Management - 1 Open role 1 Open role Corn Plantation - 5 Open...,79181731,Penjualan,Pengembangan Bisnis Baru,https://id.jobstreet.com/id/job/79181731,15,0
Accor,Sales Executive ( Jakarta Sales Office),30+ hari yang lalu,"Makassar, Sulawesi Selatan",Full time,This position is responsible for the Sales & Marketing Department activities including its planning and execution in line with the annual hotel str...,80805435,Pemasaran & Komunikasi,Manajemen Acara,https://id.jobstreet.com/id/job/80805435,12,0
Cendana Samudra Mas,Marketing Perumahan,25 hari yang lalu,"Makassar, Sulawesi Selatan",Kontrak,"Tanggung Jawab :
• Melakukan penjualan unit perumahan
• Memberikan presentasi produk perusahaan kepada cust
• Melakukan posting iklan di internet",81167896,Penjualan,Perwakilan/Konsultan Penjualan,https://id.jobstreet.com/id/job/81167896,15,0
Ruangguru,Branch Manager - Takalar (Sulawesi Selatan),19 hari yang lalu,"Takalar, Sulawesi Selatan",Kontrak,"Direct all sales and marketing initiatives in branch
Assess local market condition, identify current and prospective sales opportunities
Assess the...",81339863,Penjualan,Manajemen,https://id.jobstreet.com/id/job/81339863,15,0
Niagamas Lestari Gemilang,Field Sales Officer,18 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,Dicari sales TO untuk penempatan Makassar,81353775,Penjualan,Perwakilan/Konsultan Penjualan,https://id.jobstreet.com/id/job/81353775,15,0
Yayasan Mice,GURU SAINS/IPA,12 hari yang lalu,"Makassar, Sulawesi Selatan",Kontrak,"Guru Sains Inovatif Dibutuhkan! Gaji Kompetitif, Pengembangan Profesional, Lingkungan Kreatif.",81490188,Pendidikan & Pelatihan,Pengajaran – Pendidikan Menengah,https://id.jobstreet.com/id/job/81490188,14,0
Ruangguru,Branch Manager - Maros (Sulawesi Selatan),24 hari yang lalu,"Makassar, Sulawesi Selatan",Kontrak,"Direct all sales and marketing initiatives in branch
Assess local market condition, identify current and prospective sales opportunities
Assess the...",81230954,Penjualan,Manajemen,https://id.jobstreet.com/id/job/81230954,15,0
,Marketing,26 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,bonus kinerja,81140402,Pemasaran & Komunikasi,Komunikasi Pemasaran,https://id.jobstreet.com/id/job/81140402,12,0
Hyatt Place,"Sales Manager, Hyatt Place Makassar",30+ hari yang lalu,"Makassar, Sulawesi Selatan",Full time,"You will be responsible for the efficient running of the department in line with Hyatt International's Corporate Strategies and brand standards, wh...",80163373,Penjualan,Manajemen Akun & Relasi,https://id.jobstreet.com/id/job/80163373,15,0
,Sales Executive,1 hari yang lalu,"Gowa, Sulawesi Selatan",Full time,Bertemu dengan klien atau selama kunjungan penjualan - Mendemonstrasikan dan mempresentasikan produk - Menghadiri pameran dagang - Meninjau kinerja...,81748094,Penjualan,Pengembangan Bisnis Baru,https://id.jobstreet.com/id/job/81748094,15,0
